"filename", "language", "Makefile", "C++", "C", "Objective-C", "Markdown", "comment", "blank", "total"
"/Users/mheinke/Desktop/so_long/Makefile", "Makefile", 112, 0, 0, 0, 0, 25, 25, 162
"/Users/mheinke/Desktop/so_long/MapGenerator/Makefile", "Makefile", 46, 0, 0, 0, 0, 20, 17, 83
"/Users/mheinke/Desktop/so_long/MapGenerator/main copy.c", "C", 0, 0, 7, 0, 0, 11, 2, 20
"/Users/mheinke/Desktop/so_long/MapGenerator/main.c", "C", 0, 0, 13, 0, 0, 11, 4, 28
"/Users/mheinke/Desktop/so_long/MapGenerator/map_algo.c", "C", 0, 0, 26, 0, 0, 11, 4, 41
"/Users/mheinke/Desktop/so_long/MapGenerator/map_file_creator.c", "C", 0, 0, 38, 0, 0, 11, 6, 55
"/Users/mheinke/Desktop/so_long/MapGenerator/map_generator.c", "C", 0, 0, 19, 0, 0, 11, 4, 34
"/Users/mheinke/Desktop/so_long/MapGenerator/map_generator.h", "C++", 0, 25, 0, 0, 0, 17, 6, 48
"/Users/mheinke/Desktop/so_long/MapGenerator/map_main.c", "C", 0, 0, 13, 0, 0, 11, 4, 28
"/Users/mheinke/Desktop/so_long/MapGenerator/map_utils.c", "C", 0, 0, 65, 0, 0, 11, 10, 86
"/Users/mheinke/Desktop/so_long/MapGenerator/test.c", "C", 0, 0, 140, 0, 0, 11, 15, 166
"/Users/mheinke/Desktop/so_long/README.md", "Markdown", 0, 0, 0, 0, 1, 0, 0, 1
"/Users/mheinke/Desktop/so_long/includes/music_and_sfx.h", "C++", 0, 5, 0, 0, 0, 17, 6, 28
"/Users/mheinke/Desktop/so_long/includes/so_long.h", "C++", 0, 172, 0, 0, 0, 50, 55, 277
"/Users/mheinke/Desktop/so_long/includes/sprites.h", "C++", 0, 55, 0, 0, 0, 26, 20, 101
"/Users/mheinke/Desktop/so_long/libft/Makefile", "Makefile", 167, 0, 0, 0, 0, 29, 25, 221
"/Users/mheinke/Desktop/so_long/libft/includes/libft.h", "C++", 0, 80, 0, 0, 0, 32, 17, 129
"/Users/mheinke/Desktop/so_long/libft/srcs/check/ft_isalnum.c", "C", 0, 0, 6, 0, 0, 24, 3, 33
"/Users/mheinke/Desktop/so_long/libft/srcs/check/ft_isalpha.c", "C", 0, 0, 6, 0, 0, 24, 3, 33
"/Users/mheinke/Desktop/so_long/libft/srcs/check/ft_isascii.c", "C", 0, 0, 6, 0, 0, 24, 3, 33
"/Users/mheinke/Desktop/so_long/libft/srcs/check/ft_isdigit.c", "C", 0, 0, 6, 0, 0, 23, 3, 32
"/Users/mheinke/Desktop/so_long/libft/srcs/check/ft_isprint.c", "C", 0, 0, 6, 0, 0, 24, 3, 33
"/Users/mheinke/Desktop/so_long/libft/srcs/check/ft_isspace.c", "C", 0, 0, 6, 0, 0, 24, 3, 33
"/Users/mheinke/Desktop/so_long/libft/srcs/gnl/get_next_line.c", "C", 0, 0, 89, 0, 0, 11, 10, 110
"/Users/mheinke/Desktop/so_long/libft/srcs/gnl/get_next_line_utils.c", "C", 0, 0, 75, 0, 0, 11, 12, 98
"/Users/mheinke/Desktop/so_long/libft/srcs/list/ft_lstadd_back.c", "C", 0, 0, 16, 0, 0, 47, 5, 68
"/Users/mheinke/Desktop/so_long/libft/srcs/list/ft_lstadd_front.c", "C", 0, 0, 8, 0, 0, 40, 4, 52
"/Users/mheinke/Desktop/so_long/libft/srcs/list/ft_lstclear.c", "C", 0, 0, 10, 0, 0, 56, 4, 70
"/Users/mheinke/Desktop/so_long/libft/srcs/list/ft_lstdelone.c", "C", 0, 0, 9, 0, 0, 57, 4, 70
"/Users/mheinke/Desktop/so_long/libft/srcs/list/ft_lstiter.c", "C", 0, 0, 11, 0, 0, 53, 4, 68
"/Users/mheinke/Desktop/so_long/libft/srcs/list/ft_lstlast.c", "C", 0, 0, 9, 0, 0, 42, 4, 55
"/Users/mheinke/Desktop/so_long/libft/srcs/list/ft_lstmap.c", "C", 0, 0, 24, 0, 0, 91, 5, 120
"/Users/mheinke/Desktop/so_long/libft/srcs/list/ft_lstnew.c", "C", 0, 0, 11, 0, 0, 47, 5, 63
"/Users/mheinke/Desktop/so_long/libft/srcs/list/ft_lstsize.c", "C", 0, 0, 12, 0, 0, 47, 5, 64
"/Users/mheinke/Desktop/so_long/libft/srcs/memory/ft_bzero.c", "C", 0, 0, 6, 0, 0, 36, 4, 46
"/Users/mheinke/Desktop/so_long/libft/srcs/memory/ft_calloc.c", "C", 0, 0, 12, 0, 0, 50, 5, 67
"/Users/mheinke/Desktop/so_long/libft/srcs/memory/ft_memchr.c", "C", 0, 0, 10, 0, 0, 42, 4, 56
"/Users/mheinke/Desktop/so_long/libft/srcs/memory/ft_memcmp.c", "C", 0, 0, 12, 0, 0, 53, 4, 69
"/Users/mheinke/Desktop/so_long/libft/srcs/memory/ft_memcpy.c", "C", 0, 0, 11, 0, 0, 46, 5, 62
"/Users/mheinke/Desktop/so_long/libft/srcs/memory/ft_memmove.c", "C", 0, 0, 21, 0, 0, 61, 5, 87
"/Users/mheinke/Desktop/so_long/libft/srcs/memory/ft_memset.c", "C", 0, 0, 9, 0, 0, 43, 5, 57
"/Users/mheinke/Desktop/so_long/libft/srcs/printf/ft_printf.c", "C", 0, 0, 50, 0, 0, 11, 6, 67
"/Users/mheinke/Desktop/so_long/libft/srcs/printf/printf_char.c", "C", 0, 0, 6, 0, 0, 11, 3, 20
"/Users/mheinke/Desktop/so_long/libft/srcs/printf/printf_hex.c", "C", 0, 0, 37, 0, 0, 11, 6, 54
"/Users/mheinke/Desktop/so_long/libft/srcs/printf/printf_nbr.c", "C", 0, 0, 17, 0, 0, 11, 4, 32
"/Users/mheinke/Desktop/so_long/libft/srcs/printf/printf_ptr.c", "C", 0, 0, 41, 0, 0, 11, 8, 60
"/Users/mheinke/Desktop/so_long/libft/srcs/printf/printf_string.c", "C", 0, 0, 13, 0, 0, 11, 4, 28
"/Users/mheinke/Desktop/so_long/libft/srcs/printf/printf_uint.c", "C", 0, 0, 10, 0, 0, 11, 4, 25
"/Users/mheinke/Desktop/so_long/libft/srcs/string/ft_atoi.c", "C", 0, 0, 39, 0, 0, 11, 6, 56
"/Users/mheinke/Desktop/so_long/libft/srcs/string/ft_itoa.c", "C", 0, 0, 39, 0, 0, 11, 6, 56
"/Users/mheinke/Desktop/so_long/libft/srcs/string/ft_putchar_fd.c", "C", 0, 0, 5, 0, 0, 11, 3, 19
"/Users/mheinke/Desktop/so_long/libft/srcs/string/ft_putendl_fd.c", "C", 0, 0, 9, 0, 0, 11, 3, 23
"/Users/mheinke/Desktop/so_long/libft/srcs/string/ft_putnbr_fd.c", "C", 0, 0, 18, 0, 0, 11, 3, 32
"/Users/mheinke/Desktop/so_long/libft/srcs/string/ft_putstr_fd.c", "C", 0, 0, 8, 0, 0, 11, 3, 22
"/Users/mheinke/Desktop/so_long/libft/srcs/string/ft_split.c", "C", 0, 0, 64, 0, 0, 11, 9, 84
"/Users/mheinke/Desktop/so_long/libft/srcs/string/ft_strchr.c", "C", 0, 0, 13, 0, 0, 11, 3, 27
"/Users/mheinke/Desktop/so_long/libft/srcs/string/ft_strdup.c", "C", 0, 0, 19, 0, 0, 11, 4, 34
"/Users/mheinke/Desktop/so_long/libft/srcs/string/ft_striteri.c", "C", 0, 0, 14, 0, 0, 11, 4, 29
"/Users/mheinke/Desktop/so_long/libft/srcs/string/ft_strjoin.c", "C", 0, 0, 26, 0, 0, 11, 4, 41
"/Users/mheinke/Desktop/so_long/libft/srcs/string/ft_strlcat.c", "C", 0, 0, 20, 0, 0, 11, 4, 35
"/Users/mheinke/Desktop/so_long/libft/srcs/string/ft_strlcpy.c", "C", 0, 0, 22, 0, 0, 11, 4, 37
"/Users/mheinke/Desktop/so_long/libft/srcs/string/ft_strlen.c", "C", 0, 0, 9, 0, 0, 11, 4, 24
"/Users/mheinke/Desktop/so_long/libft/srcs/string/ft_strmapi.c", "C", 0, 0, 19, 0, 0, 11, 4, 34
"/Users/mheinke/Desktop/so_long/libft/srcs/string/ft_strncmp.c", "C", 0, 0, 12, 0, 0, 11, 4, 27
"/Users/mheinke/Desktop/so_long/libft/srcs/string/ft_strnstr.c", "C", 0, 0, 27, 0, 0, 11, 4, 42
"/Users/mheinke/Desktop/so_long/libft/srcs/string/ft_strrchr.c", "C", 0, 0, 15, 0, 0, 11, 4, 30
"/Users/mheinke/Desktop/so_long/libft/srcs/string/ft_strtrim.c", "C", 0, 0, 42, 0, 0, 11, 8, 61
"/Users/mheinke/Desktop/so_long/libft/srcs/string/ft_substr.c", "C", 0, 0, 25, 0, 0, 11, 4, 40
"/Users/mheinke/Desktop/so_long/libft/srcs/string/ft_tolower.c", "C", 0, 0, 7, 0, 0, 11, 3, 21
"/Users/mheinke/Desktop/so_long/libft/srcs/string/ft_toupper.c", "C", 0, 0, 7, 0, 0, 11, 3, 21
"/Users/mheinke/Desktop/so_long/mlx-macos/Makefile", "Makefile", 40, 0, 0, 0, 0, 3, 8, 51
"/Users/mheinke/Desktop/so_long/mlx-macos/font.c", "C", 0, 0, 3522, 0, 0, 1, 3, 3526
"/Users/mheinke/Desktop/so_long/mlx-macos/mlx.h", "C++", 0, 36, 0, 0, 0, 83, 31, 150
"/Users/mheinke/Desktop/so_long/mlx-macos/mlx_init_loop.m", "Objective-C", 0, 0, 0, 148, 0, 5, 40, 193
"/Users/mheinke/Desktop/so_long/mlx-macos/mlx_int.h", "C++", 0, 75, 0, 0, 0, 9, 19, 103
"/Users/mheinke/Desktop/so_long/mlx-macos/mlx_int_str_to_wordtab.c", "C", 0, 0, 93, 0, 0, 3, 12, 108
"/Users/mheinke/Desktop/so_long/mlx-macos/mlx_mouse.m", "Objective-C", 0, 0, 0, 40, 0, 3, 10, 53
"/Users/mheinke/Desktop/so_long/mlx-macos/mlx_new_image.m", "Objective-C", 0, 0, 0, 149, 0, 10, 40, 199
"/Users/mheinke/Desktop/so_long/mlx-macos/mlx_new_window.h", "C++", 0, 43, 0, 0, 0, 7, 8, 58
"/Users/mheinke/Desktop/so_long/mlx-macos/mlx_new_window.m", "Objective-C", 0, 0, 0, 539, 0, 78, 150, 767
"/Users/mheinke/Desktop/so_long/mlx-macos/mlx_opengl.h", "C++", 0, 3, 0, 0, 0, 12, 7, 22
"/Users/mheinke/Desktop/so_long/mlx-macos/mlx_opengl.m", "Objective-C", 0, 0, 0, 39, 0, 1, 18, 58
"/Users/mheinke/Desktop/so_long/mlx-macos/mlx_png.c", "C", 0, 0, 363, 0, 0, 8, 48, 419
"/Users/mheinke/Desktop/so_long/mlx-macos/mlx_png.h", "C++", 0, 1, 0, 0, 0, 0, 4, 5
"/Users/mheinke/Desktop/so_long/mlx-macos/mlx_rgb.c", "C", 0, 0, 757, 0, 0, 4, 3, 764
"/Users/mheinke/Desktop/so_long/mlx-macos/mlx_shaders.c", "C", 0, 0, 200, 0, 0, 1, 40, 241
"/Users/mheinke/Desktop/so_long/mlx-macos/mlx_xpm.c", "C", 0, 0, 241, 0, 0, 55, 43, 339
"/Users/mheinke/Desktop/so_long/sources/cleanup/destroy_creditscreen.c", "C", 0, 0, 10, 0, 0, 11, 5, 26
"/Users/mheinke/Desktop/so_long/sources/cleanup/destroy_loadingscreen.c", "C", 0, 0, 31, 0, 0, 11, 5, 47
"/Users/mheinke/Desktop/so_long/sources/cleanup/destroy_optionscreen.c", "C", 0, 0, 31, 0, 0, 11, 6, 48
"/Users/mheinke/Desktop/so_long/sources/cleanup/destroy_player.c", "C", 0, 0, 5, 0, 0, 11, 3, 19
"/Users/mheinke/Desktop/so_long/sources/cleanup/destroy_startscreen.c", "C", 0, 0, 31, 0, 0, 11, 5, 47
"/Users/mheinke/Desktop/so_long/sources/cleanup/free_structs.c", "C", 0, 0, 8, 0, 0, 11, 3, 22
"/Users/mheinke/Desktop/so_long/sources/init/init_creditscreen.c", "C", 0, 0, 43, 0, 0, 11, 10, 64
"/Users/mheinke/Desktop/so_long/sources/init/init_game.c", "C", 0, 0, 26, 0, 0, 11, 5, 42
"/Users/mheinke/Desktop/so_long/sources/init/init_loadingscreen.c", "C", 0, 0, 43, 0, 0, 11, 9, 63
"/Users/mheinke/Desktop/so_long/sources/init/init_optionscreen.c", "C", 0, 0, 60, 0, 0, 11, 11, 82
"/Users/mheinke/Desktop/so_long/sources/init/init_optionscreen_buttons.c", "C", 0, 0, 36, 0, 0, 11, 7, 54
"/Users/mheinke/Desktop/so_long/sources/init/init_player.c", "C", 0, 0, 14, 0, 0, 11, 3, 28
"/Users/mheinke/Desktop/so_long/sources/init/init_startscreen.c", "C", 0, 0, 44, 0, 0, 11, 10, 65
"/Users/mheinke/Desktop/so_long/sources/init/init_startscreen_buttons.c", "C", 0, 0, 36, 0, 0, 11, 5, 52
"/Users/mheinke/Desktop/so_long/sources/init/init_viewport.c", "C", 0, 0, 5, 0, 0, 11, 3, 19
"/Users/mheinke/Desktop/so_long/sources/loadingscreen/loadingscreen.c", "C", 0, 0, 22, 0, 0, 11, 6, 39
"/Users/mheinke/Desktop/so_long/sources/main.c", "C", 0, 0, 62, 0, 0, 18, 8, 88
"/Users/mheinke/Desktop/so_long/sources/menu/menu_buttons.c", "C", 0, 0, 47, 0, 0, 11, 5, 63
"/Users/mheinke/Desktop/so_long/sources/menu/menu_mouse_click.c", "C", 0, 0, 47, 0, 0, 11, 5, 63
"/Users/mheinke/Desktop/so_long/sources/menu/menu_mouse_hover.c", "C", 0, 0, 44, 0, 0, 11, 6, 61
"/Users/mheinke/Desktop/so_long/sources/menu/menu_start_screen.c", "C", 0, 0, 88, 0, 0, 11, 15, 114
"/Users/mheinke/Desktop/so_long/sources/menu/startscreen.c", "C", 0, 0, 50, 0, 0, 11, 5, 66
"/Users/mheinke/Desktop/so_long/sources/player/player_movement.c", "C", 0, 0, 13, 0, 0, 11, 3, 27
"/Users/mheinke/Desktop/so_long/sources/user_input/input_hooks.c", "C", 0, 0, 16, 0, 0, 11, 4, 31
"/Users/mheinke/Desktop/so_long/sources/user_input/key_input.c", "C", 0, 0, 26, 0, 0, 11, 4, 41
"/Users/mheinke/Desktop/so_long/sources/user_input/mouse_input.c", "C", 0, 0, 13, 0, 0, 11, 3, 27
"/Users/mheinke/Desktop/so_long/sources/utils/delta_time.c", "C", 0, 0, 29, 0, 0, 11, 7, 47
"/Users/mheinke/Desktop/so_long/sources/utils/error_handling.c", "C", 0, 0, 6, 0, 0, 11, 4, 21
"/Users/mheinke/Desktop/so_long/sources/utils/musicplayer.c", "C", 0, 0, 41, 0, 0, 11, 10, 62
"/Users/mheinke/Desktop/so_long/sources/utils/render.c", "C", 0, 0, 8, 0, 0, 70, 16, 94
"/Users/mheinke/Desktop/so_long/sources/utils/statemachine.c", "C", 0, 0, 13, 0, 0, 11, 4, 28
"/Users/mheinke/Desktop/so_long/sources/utils/window_changer.c", "C", 0, 0, 40, 0, 0, 11, 5, 56
"Total", "-", 365, 495, 7509, 915, 1, 2300, 1145, 12730